Library_Name,City,State,Service_Population,Annual_Budget,ILS_System,Director_Name,Director_Email,Director_LinkedIn,Tech_Librarian_Name,Tech_Librarian_Email,Website,Tier,Innovation_Signals,Fiscal_Year_End,LSTA_Eligible,Consortium_Member,Priority_Score,Notes
"San José Public Library","San José","CA",1030119,,"Polaris","Jill Bourne",,,,,https://www.sjpl.org,1,"Maker[Space], Innovation grants, Tech programs","June","Yes","",9,"Example: Large urban system with innovation focus"
"Cambridge Public Library","Cambridge","MA",118977,,"Evergreen","Maria McCauley",,,,,https://www.cambridgema.gov/cpl,1,"Innovation lab, MIT partnership","June","Yes","MLS",8,"Example: Academic community, early adopter profile"
"Denver Public Library","Denver","CO",715522,,"Polaris","Michelle Jeske",,,,,https://www.denverlibrary.org,2,"Digital equity focus, recent grants","December","Yes","CLiC",7,"Example: Large system but good for Phase 2"
"Austin Public Library","Austin","TX",964177,,"Polaris","Roosevelt Weeks",,,,,https://library.austintexas.gov,2,"Tech hub location, innovation culture","September","Yes","",7,"Example: Tech-forward community"
"Wake County Public Libraries","Raleigh","NC",1129410,,"Sierra","Ann Burlingame",,,,,https://www.wakegov.com/libraries,2,"Growing system, Research Triangle","June","Yes","",6,"Example: Sierra system (Phase 2)"
"Brookline Public Library","Brookline","MA",63191,,"Koha","Sara Slymon",,,,,https://www.brooklinelibrary.org,1,"Wealthy community, high education","June","Yes","MLS",9,"Example: Perfect Tier 1 candidate"
"Sacramento Public Library","Sacramento","CA",524943,,"Koha","Rivkah Sass",,,,,https://www.saclibrary.org,1,"State capital, diverse population","June","Yes","",8,"Example: Koha user, good size"
"Fort Collins Poudre River Library","Fort Collins","CO",177556,,"Polaris","Diane Lapierre",,,,,https://www.poudrelibraries.org,1,"College town, innovation friendly","December","Yes","CLiC",8,"Example: Perfect size, Polaris user"
"Round Rock Public Library","Round Rock","TX",154885,,"Koha","Dana Chisholm",,,,,https://www.roundrocktexas.gov/library,1,"Austin suburb, growing rapidly","September","Yes","",7,"Example: Suburban growth market"
"Charlotte Mecklenburg Library","Charlotte","NC",1115525,,"Polaris","Marcellus Turner",,,,,https://www.cmlibrary.org,2,"Large urban, innovation programs","June","Yes","",7,"Example: Major urban system"
"[Add your libraries here]","","","","","","","","","","","",,"","","","",,"Instructions: Fill in data for target libraries"
"","","","","","","","","","","","",,"","","","",,"Use Hunter.io for emails"
"","","","","","","","","","","","",,"","","","",,"LinkedIn for profiles"
"","","","","","","","","","","","",,"","","","",,"State directories for names"
"","","","","","","","","","","","",,"","","","",,"Library websites for innovation signals"